Weight, Height
79833.6,1.778
90720.0,1.9812
87091.2,1.8288
73936.8,1.7018
61000.0,1.75
70000.0,1.68
74000.0,1.76
71000.0,1.75
87998.4,1.7526
83008.8,1.8288
87000.0,1.93
87998.4,1.8288
84823.2,1.8796
62000.0,1.78
78000.0,1.85
75700.0,1.87
87998.4,1.8288
72000.0,1.9
86000.0,1.86
89812.8,1.8034
71668.8,1.778
89000.0,1.91
86637.6,1.8542
98884.8,1.8796
80000.0,1.8
110000.0,1.92
86184.0,1.8034
73936.8,1.8288
68000.0,1.82
87000.0,1.83
79833.6,1.8288
95000.0,1.85
89812.8,1.778
79833.6,1.8034
60000.0,1.68
81648.0,1.7526
106596.0,2.0574
90266.4,1.9558
89812.8,1.778
93895.2,1.9558
87091.2,1.8542
119750.4,1.8796
82101.6,1.8288
97977.6,1.8288
67000.0,1.77
102967.2,1.8034
88905.6,1.8542
67000.0,1.74
93895.2,1.8796
87998.4,1.8034
93895.2,1.8034
95000.0,1.96
84823.2,1.8034
78926.4,1.7526
87998.4,1.8542
87998.4,1.778
87998.4,1.8288
78472.8,1.8288
82000.0,1.85
89812.8,1.8288
145000.0,2.01
87998.4,1.8796
93895.2,1.905
111132.0,1.9558
83008.8,1.8288
96616.8,1.8288
118000.0,1.98
71000.0,1.86
78000.0,1.84
79833.6,1.7399
93441.6,1.8796
84823.2,1.8288
87998.4,1.8288
62000.0,1.7
85000.0,1.92
92080.8,1.8796
85730.4,1.8034
109000.0,1.9
107000.0,1.85
87091.2,1.8288
86184.0,1.8288
89812.8,1.8288
83916.0,1.8288
87998.4,1.8542
92080.8,1.8542
89812.8,1.8288
84823.2,1.8288
87091.2,1.778
87998.4,1.8796
77112.0,1.778
91173.6,1.778
94200.0,1.88
78926.4,1.8034
91173.6,1.8288
95709.6,1.8288
78000.0,1.85
92988.0,1.8288
83916.0,1.905
117000.0,1.8
98884.8,1.7526
92534.4,1.905
81648.0,1.7526
58000.0,1.72
98884.8,1.8796
79833.6,1.8288
75000.0,1.89
91627.2,1.8542
86000.0,1.98
95256.0,1.8542
100000.0,1.98
100000.0,1.96
84000.0,1.91
83916.0,1.778
84823.2,1.8288
63504.0,1.7018
97000.0,2.04
85000.0,1.92
92988.0,1.905
90000.0,1.92
72000.0,1.8
98884.8,1.8796
88905.6,1.8034
94802.4,1.905
83000.0,2.02
93895.2,1.8796
87998.4,1.7526
91173.6,1.8288
94802.4,1.8796
82101.6,1.8288
89812.8,1.8034
102060.0,2.032
97070.4,1.9177
94348.8,1.9812
95000.0,2.02
91173.6,1.8034
113000.0,2.08
84823.2,1.7526
95256.0,1.8796
89000.0,1.94
89812.8,1.7526
84000.0,1.93
52000.0,1.57
82000.0,1.92
100000.0,1.78
83916.0,1.7526
98884.8,1.9558
77112.0,1.778
95256.0,1.9304
83916.0,1.8288
83462.4,1.8796
79000.0,1.93
81000.0,1.85
75000.0,1.8
78000.0,1.86
115000.0,1.86
101000.0,1.81
97524.0,1.8796
124740.0,2.159
140616.0,1.8796
95254.3977,1.8288
110000.0,1.75
101604.69088,1.9304
86184.0,1.8034
117936.0,2.1336
95000.0,2.0066
86360.0,1.93
127008.0,1.9304
110000.0,1.96
96163.2,1.8542
81648.0,1.7526
87000.0,1.78
84823.2,1.905
129276.0,2.1336
